###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  822; Previdência Social; 27.29%; 765341.41; 78820.13; 686521.28; Assistência Social; 12.23%; 203225.31; 510792.43; -307567.12; Urbanismo; 08.41%; 471185.99; 682641.38; -211455.39; Saúde; 07.10%; 2058961.55; 2237624.68; -178663.13; Encargos Especiais; 06.65%; 91040.78; 258366.49; -167325.71;  1.24
Prefeitura Municipal de Borá - SP;  3507209;  SP;  835; Agricultura; 16.26%; 122302.10; 654972.55; -532670.45; Administração; 13.05%; 2159247.85; 1731892.23; 427355.62; Educação; 11.89%; 1607886.67; 1997313.43; -389426.76; Assistência Social; 11.32%; 853422.87; 482630.21; 370792.66; Transporte; 07.84%; 801602.09; 1058333.16; -256731.07;  1.03
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1000; Saúde; 18.13%; 1482082.07; 2261558.77; -779476.70; Urbanismo; 14.55%; 21803.19; 647458.52; -625655.33; Agricultura; 13.94%; 7260.90; 606547.96; -599287.06; Educação; 12.73%; 1414489.80; 1961910.99; -547421.19; Legislativa; 09.94%; 0; 427380.97; -427380.97;  1.32
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1091; Saúde; 25.35%; 1430044.71; 2261558.77; -831514.06; Transporte; 15.83%; 515671.03; 1034993.97; -519322.94; Administração; 09.07%; 1473095.75; 1770742.74; -297646.99; Educação; 07.78%; 2217017.26; 1961910.99; 255106.27; Encargos Especiais; 07.64%; 0; 250510.25; -250510.25;  1.11
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1206; Administração; 19.87%; 2550051.63; 1679086.53; 870965.10; Transporte; 13.35%; 518672.78; 1103863.27; -585190.49; Despesas (Intraorçamentárias); 10.69%; 468363.39; 0.00; 468363.39; Educação; 10.59%; 2365592.11; 1901234.78; 464357.33; Urbanismo; 09.19%; 987635.46; 584948.95; 402686.51;  1.04
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1222; Administração; 21.39%; 688569.25; 1751666.95; -1063097.70; Transporte; 11.12%; 502158.93; 1055097.40; -552938.47; Agricultura; 10.85%; 99625.58; 638981.39; -539355.81; Essencial à Justiça; 10.11%; 502741.43; 0.00; 502741.43; Previdência Social; 09.59%; 542546.78; 65683.44; 476863.34;  1.23
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1239; Transporte; 26.13%; 38801.00; 1055097.40; -1016296.40; Agricultura; 15.43%; 38772.47; 638981.39; -600208.92; Saúde; 11.93%; 1747731.38; 2211750.18; -464018.80; Educação; 09.55%; 1568461.42; 1939931.22; -371469.80; Urbanismo; 07.71%; 318758.05; 618506.16; -299748.11;  1.12
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1240; Assistência Social; 16.69%; 1148259.75; 511423.77; 636835.98; Saúde; 15.42%; 2800055.95; 2211750.18; 588305.77; Urbanismo; 14.00%; 1152550.52; 618506.16; 534044.36; Agricultura; 10.35%; 244183.39; 638981.39; -394798.00; Transporte; 08.25%; 740197.45; 1055097.40; -314899.95;  1.13
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1286; Administração; 31.64%; 3080815.62; 1751666.95; 1329148.67; Educação; 16.62%; 1241870.67; 1939931.22; -698060.55; Transporte; 13.44%; 490277.64; 1055097.40; -564819.76; Urbanismo; 12.88%; 77534.55; 618506.16; -540971.61; Encargos Especiais; 05.50%; 0; 231195.76; -231195.76;  1.11
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1391; Transporte; 22.42%; 146613.08; 1055097.40; -908484.32; Saúde; 21.69%; 1332881.06; 2211750.18; -878869.12; Educação; 12.90%; 1417064.83; 1939931.22; -522866.39; Urbanismo; 09.85%; 1017421.33; 618506.16; 398915.17; Administração; 06.53%; 1487050.41; 1751666.95; -264616.54;  1.13
