###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  822; Educação; 20.49%; 2682720.93; 2038169.55; 644551.38; Previdência Social; 18.12%; 718882.02; 148946.40; 569935.62; Agricultura; 13.14%; 190487.77; 603731.63; -413243.86; Assistência Social; 10.23%; 256124.19; 578037.94; -321913.75; Administração; 10.06%; 2209385.75; 1893063.26; 316322.49;  1.17
Prefeitura Municipal de Borá - SP;  3507209;  SP;  835; Educação; 18.41%; 1542948.87; 2032556.63; -489607.76; Administração; 17.45%; 2349542.23; 1885267.60; 464274.63; Agricultura; 17.15%; 155196.05; 611415.48; -456219.43; Assistência Social; 09.65%; 830289.86; 573464.49; 256825.37; Saúde; 08.50%; 2535467.90; 2309470.55; 225997.35;  1.01
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1000; Urbanismo; 15.23%; 1303736.56; 661315.38; 642421.18; Agricultura; 14.20%; 0; 598742.71; -598742.71; Saúde; 12.57%; 1785425.13; 2315748.26; -530323.13; Legislativa; 10.45%; 0; 440712.00; -440712.00; Administração; 08.50%; 2256717.34; 1898164.12; 358553.22;  1.31
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1091; Saúde; 20.72%; 1492893.37; 2333543.42; -840650.05; Educação; 15.49%; 2632983.86; 2004530.23; 628453.63; Transporte; 11.81%; 312259.29; 791255.08; -478995.79; Agricultura; 10.49%; 228160.92; 653758.91; -425597.99; Habitação; 07.96%; 342957.49; 19830.09; 323127.40;  1.11
Prefeitura Municipal de Anhanguera - GO;  5201207;  GO;  1093; Administração; 42.44%; 7997241.32; 1885442.22; 6111799.10; Saúde; 16.05%; 0; 2310823.15; -2310823.15; Educação; 14.04%; 0; 2021515.46; -2021515.46; Transporte; 05.40%; 0; 778309.24; -778309.24; Urbanismo; 04.50%; 0; 648519.17; -648519.17;  3.22
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1206; Educação; 18.60%; 2715931.69; 1991716.05; 724215.64; Administração; 14.83%; 2491524.65; 1914308.57; 577216.08; Urbanismo; 13.07%; 1130226.34; 621582.08; 508644.26; Agricultura; 09.13%; 290254.69; 645625.28; -355370.59; Transporte; 08.88%; 421851.85; 767329.61; -345477.76;  1.08
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1222; Administração; 31.36%; 542883.03; 1963477.92; -1420594.89; Essencial à Justiça; 13.29%; 610639.94; 8558.48; 602081.46; Agricultura; 11.42%; 135537.12; 652760.72; -517223.60; Educação; 09.51%; 1588516.72; 2019480.18; -430963.46; Previdência Social; 08.85%; 524466.77; 123385.72; 401081.05;  1.14
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1239; Transporte; 24.83%; 9400.00; 808604.10; -799204.10; Agricultura; 18.81%; 52724.44; 658000.40; -605275.96; Saúde; 14.14%; 1877127.57; 2332045.32; -454917.75; Urbanismo; 08.65%; 346203.64; 624558.40; -278354.76; Educação; 07.33%; 1783922.46; 2019800.20; -235877.74;  1.08
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1240; Assistência Social; 21.96%; 1442654.86; 530033.13; 912621.73; Transporte; 13.60%; 1334059.66; 768607.20; 565452.46; Educação; 11.42%; 2457599.16; 1982991.86; 474607.30; Agricultura; 09.74%; 246100.37; 650807.26; -404706.89; Urbanismo; 09.57%; 1007906.29; 610093.55; 397812.74;  1.12
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1286; Administração; 23.49%; 2908543.53; 1906815.68; 1001727.85; Educação; 15.12%; 1362619.55; 2007382.49; -644762.94; Urbanismo; 12.34%; 112202.77; 638490.52; -526287.75; Trabalho; 09.96%; 437036.72; 12153.77; 424882.95; Agricultura; 06.92%; 921951.37; 626960.71; 294990.66;  1.12
Prefeitura Municipal de Santiago do Sul - SC;  4215695;  SC;  1389; Transporte; 22.79%; 1514883.97; 755207.16; 759676.81; Agricultura; 17.75%; 1220417.43; 628858.92; 591558.51; Urbanismo; 15.17%; 1127504.94; 621999.07; 505505.87; Administração; 10.04%; 1597841.85; 1932571.53; -334729.68; Encargos Especiais; 06.58%; 346106.74; 126784.95; 219321.79;  1.01
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1391; Saúde; 31.39%; 1060228.03; 2356619.29; -1296391.26; Transporte; 18.44%; 36331.22; 797757.05; -761425.83; Administração; 07.76%; 2230629.05; 1910116.16; 320512.89; Urbanismo; 06.89%; 907028.04; 622445.36; 284582.68; Educação; 06.23%; 1727627.01; 1984882.26; -257255.25;  1.17
